income_yearly,debt_total,payment_history_score,credit_limit,credit_used,credit_utilization_ratio,credit_worthiness
,684861,23,421596,173437,0.41,good
446575,468420,21,175352,32851,0.19,bad
3820964,5522430,95,1377912,1210346,0.88,bad
914945,,52,139364,62801,0.45,good
,1339648,7,433584,21115,,bad
3389656,2955154,63,1205608,857342,0.71,bad
140108,77915,50,31822,6560,,good
1545142,143989,0,290305,134972,0.46,good
181249,141814,75,40493,29542,,bad
375341,52383,19,106106,41604,0.39,good
464301,529668,,126046,34478,0.27,bad
1916166,2089267,31,,184364,0.58,bad
3428544,3840891,33,743825,447308,0.6,bad
2975377,1181302,99,405835,272903,0.67,good
792473,236669,94,283349,165552,0.58,good
3385704,255476,73,867855,660789,0.76,good
497013,321473,11,168193,6750,0.04,bad
,8993,65,119429,78331,0.66,good
285237,239868,47,,6476,0.07,good
2616979,348568,74,727927,318048,0.44,good
3581622,2894633,60,937449,443040,0.47,good
958960,446978,93,229706,,0.11,good
1579519,1169064,83,395549,316183,0.8,bad
1500745,328475,58,571419,17560,0.03,good
212614,173388,66,,,0.82,bad
3180378,503240,,479084,23292,0.05,good
1585166,1303266,15,339387,,0.36,bad
895284,851034,23,,21566,0.11,bad
3572634,2847823,42,556054,529455,0.95,bad
1642321,1916782,77,603227,484329,,bad
3515931,3783057,87,590413,262225,0.44,good
724346,631396,95,210954,,0.18,good
283144,77689,49,36378,2417,0.07,good
2314754,1033040,,370961,102989,0.28,good
3481749,3309723,13,934378,141930,0.15,bad
2026640,1877492,45,600332,322572,0.54,good
1430490,2143739,30,275987,135997,0.49,bad
3486884,4861757,5,623920,308259,0.49,bad
965005,479393,95,338017,164265,0.49,good
2141105,2895229,92,,,0.41,good
1177834,717913,17,215716,92414,0.43,bad
213773,167870,10,82626,35009,0.42,bad
901976,461582,2,279480,7885,0.03,good
3811279,104455,87,1304574,1039455,0.8,good
1411220,1913474,11,452143,327209,0.72,bad
2625069,2622568,37,571936,,0.22,bad
3668193,2546881,34,1226892,1049424,0.86,bad
1153732,1364871,65,431823,186119,0.43,good
119081,,,43168,30374,0.7,good
953286,111637,37,336975,128019,0.38,good
3642399,4255524,97,384138,,,good
531316,756944,47,,140685,0.7,good
3233749,3481084,84,396699,142930,0.36,good
3608064,1787606,6,1400966,396047,0.28,good
2487223,1453915,17,614754,296615,0.48,good
3956033,3016854,37,751619,683021,0.91,bad
573005,606156,58,196615,89569,0.46,good
3267376,3307663,40,1018179,282133,0.28,good
637593,935761,8,83039,26423,0.32,bad
2894603,4127140,0,950811,949707,1,bad
390135,444539,4,142747,68960,0.48,bad
897224,311390,,123571,84772,0.69,good
1419514,808474,,426806,413773,0.97,good
2805515,842026,75,736171,594456,0.81,good
2024107,,80,471492,246854,,good
2641164,2162170,92,480105,172957,0.36,good
993746,79835,12,297912,275769,0.93,bad
2512999,1991038,99,537330,334132,0.62,good
601086,108266,11,224151,,,good
,205808,91,373572,103449,0.28,good
1136894,170263,40,181163,17655,0.1,good
605815,655905,,,11327,0.13,good
1612346,9590,37,375415,368716,0.98,bad
,2526096,8,516619,226597,0.44,bad
2455447,187239,5,831592,583312,0.7,good
609936,743550,19,135229,119955,0.89,bad
107332,46854,95,23195,14050,0.61,good
2630721,98341,74,,215571,0.65,good
2489318,3429752,15,603141,272371,0.45,bad
3359220,4958451,,1016546,687760,0.68,bad
3569922,2492418,73,505383,79570,0.16,good
130586,83351,73,31432,805,0.03,good
2688897,561935,54,374701,48989,0.13,good
111098,86166,71,42514,6582,0.15,good
2188233,155769,19,595760,579221,0.97,bad
,395798,13,139659,,,good
2448586,2502389,90,669454,460110,0.69,good
974204,1306688,99,254106,,0.61,good
111551,53058,78,38614,19342,0.5,good
187897,83895,4,25223,8828,0.35,good
1523514,956059,73,266670,,0.6,good
2894349,3686288,87,693077,553691,0.8,bad
1175793,599211,23,270598,222652,0.82,bad
678676,272686,44,211893,50695,0.24,good
2702015,253042,84,996989,390699,0.39,good
2231547,2882098,17,675704,33076,,bad
,445275,93,298891,47346,0.16,good
,29821,69,68808,56594,0.82,good
3346081,,,506543,,0.21,good
1403685,,68,367435,203700,0.55,good
3216458,1805487,35,946435,133964,0.14,good
268868,149991,10,31233,26625,0.85,bad
2238104,300299,87,264273,175522,0.66,good
2612877,711017,73,428261,398110,0.93,good
3344958,3285817,75,574025,205960,0.36,good
1600648,414024,0,565643,245579,0.43,good
1449635,2108212,22,501308,413309,0.82,bad
1233955,910962,77,477997,4674,0.01,good
2145960,1555874,83,721347,53823,0.07,good
2930404,3463757,64,913538,640618,0.7,good
1713821,1733277,22,679939,85317,0.13,bad
2481278,1164430,14,755761,31533,0.04,good
527165,172957,,142377,24620,0.17,good
2465988,1938330,36,510140,93574,0.18,bad
1901454,2834324,12,297133,68489,0.23,bad
2088617,2664939,59,257127,115482,0.45,good
3958893,1005855,91,1512501,223811,0.15,good
1030964,480498,87,207169,,0.93,good
600539,172744,14,205041,40162,0.2,good
1437911,,15,294356,42125,0.14,bad
,864934,48,393619,,0.45,good
3164310,4385261,49,359269,145141,0.4,good
2155645,2829945,19,796203,,0.92,bad
808196,1180696,64,133960,98156,0.73,bad
834117,854504,91,284060,55518,0.2,good
1742363,2131776,52,,120635,0.23,good
1944324,2772057,43,602009,411662,0.68,good
789637,916534,,158910,15361,0.1,bad
,4953112,52,844472,490714,0.58,good
530963,775892,80,197798,116779,0.59,good
2325068,2818440,62,475737,234389,0.49,good
1407725,957957,12,434417,135438,0.31,bad
2432271,,69,473738,465093,0.98,bad
606863,53334,60,,20866,0.1,good
,2939514,14,522522,504222,0.96,bad
687801,674015,,189704,100579,0.53,bad
301281,71321,61,80122,17956,0.22,good
2527012,1359138,78,715213,533259,0.75,good
3241109,59944,25,,346708,0.88,bad
1502770,1541123,10,413871,172113,0.42,bad
1168784,430416,10,385564,63444,0.16,good
1941672,1361750,3,421283,276114,,bad
1283424,654790,95,376364,83436,,good
1278035,291272,28,,60269,0.37,good
2364038,1201414,39,773945,465067,0.6,good
371457,238063,,96696,77785,0.8,bad
798848,94837,57,277416,,0.86,good
2002578,,29,626366,241250,0.39,bad
2677096,807470,33,828116,722397,0.87,bad
2318621,1327828,81,412474,17663,0.04,good
,3006717,19,325599,213994,0.66,bad
1839460,2052314,16,,128689,0.23,bad
,1744745,75,387922,273122,,good
2181981,1165142,2,549330,502715,0.92,bad
1912005,266314,62,584337,88395,0.15,good
,1894171,41,500595,294879,0.59,good
136288,,,32310,13553,,good
3454811,1025588,92,797868,152645,0.19,good
,948703,22,386993,256870,0.66,bad
501553,378383,,120952,100585,0.83,bad
100224,,40,19489,4241,0.22,good
2462046,1126804,4,822196,585891,0.71,bad
2021106,1977968,,431797,302841,0.7,good
3617862,2034696,76,1372084,683979,0.5,good
2810742,,59,744444,344072,0.46,good
3042126,2657129,3,903609,676827,0.75,bad
308454,235688,71,79876,55898,0.7,good
3325446,1578302,54,430287,413010,0.96,good
,3212237,21,472706,403946,0.85,bad
,453732,14,890906,464710,0.52,good
2887045,4196604,,1063364,198799,,bad
3187540,1510619,11,847852,288537,0.34,good
578038,411635,85,106360,41691,0.39,good
138028,173883,4,26394,3459,0.13,bad
3423205,1408012,49,548917,244304,0.45,good
1950595,,97,698801,254246,0.36,good
633788,610749,48,93665,24644,0.26,good
3134960,2861387,27,921574,408451,0.44,bad
2256441,1111311,68,642288,36066,0.06,good
2974483,4291329,,871752,619392,0.71,bad
1224035,186400,12,450341,254011,0.56,good
3280530,2956104,2,472091,,0.72,bad
655357,302337,35,108516,72561,0.67,good
2382088,3173020,52,637616,561607,0.88,bad
1561444,1333231,64,498680,,0.46,good
3095586,4456880,49,802402,463850,,good
1749920,483249,25,183745,116284,0.63,good
3938987,3567551,75,1124022,759407,0.68,good
3102792,1814970,50,541451,25682,0.05,good
846979,1109583,85,126074,24239,,good
1272955,482363,48,400535,9846,0.02,good
143547,37638,31,22736,7388,0.32,good
2708693,,40,904389,453169,0.5,good
2688461,,89,398451,178087,0.45,good
307544,188416,61,31126,10305,0.33,good
3027978,348443,19,596241,223023,0.37,good
3085020,1596179,31,1047391,44949,0.04,good
,,91,910511,884938,0.97,good
3931984,4594616,74,830708,44054,0.05,good
2029006,1120484,22,422887,299002,0.71,bad
296495,126304,1,47434,14677,0.31,good
2893949,2367884,99,711461,236423,0.33,good
1229338,914700,16,418461,26598,0.06,bad
2424473,971377,4,395400,333179,0.84,bad
2211721,35461,35,,,0.79,bad
2779595,3381518,94,,459346,,bad
283258,345166,8,38487,5967,0.16,bad
476458,663259,6,93131,85216,,bad
1017588,583044,0,274485,192865,,good
1224554,1150708,23,180279,45764,0.25,bad
3855476,5182932,0,535535,308434,0.58,bad
1717562,149388,54,,118083,0.55,good
208046,32194,,65878,28400,0.43,good
3173950,4251805,73,1226259,475351,0.39,good
283780,72092,36,51968,48561,0.93,bad
847228,466859,38,279761,150308,0.54,good
,587070,25,564524,179079,0.32,good
2673170,772536,41,,732603,0.86,good
900600,851735,43,237119,167839,0.71,bad
1241989,1752859,82,490048,136919,0.28,good
2123074,784923,97,501019,,0.23,good
,46697,53,874535,761924,0.87,good
1530899,769274,81,520405,56439,0.11,good
654916,85871,49,160736,83517,0.52,good
1981286,439410,82,642794,355664,,good
,3482429,77,817989,661653,0.81,bad
277927,,92,66888,3146,0.05,good
2233163,2994711,96,,642281,0.9,bad
,1166796,41,549091,62775,0.11,good
865278,892678,82,169929,25317,0.15,good
582765,829277,9,220567,59679,0.27,bad
224435,169405,79,26662,13915,0.52,good
804566,807418,12,306676,186989,0.61,bad
3755907,5609811,51,1104497,1102148,1,bad
985689,415244,,259917,,0.73,bad
3146827,2478465,54,346663,283677,0.82,bad
1009623,365060,40,130953,69855,0.53,good
2045268,482448,64,534385,11324,0.02,good
442524,9988,23,104484,65610,0.63,good
2996423,2793181,82,334307,96825,0.29,good
1373346,64476,64,409143,,0.44,good
3398297,775563,69,1205665,987983,0.82,good
2915180,1367492,60,573313,500391,0.87,good
1616970,,88,592076,156169,0.26,good
841569,1206224,47,85106,213,0,good
2548722,,24,1012128,,0.76,bad
2728230,2814606,60,890599,812382,0.91,bad
1076072,1270763,66,214977,97993,0.46,good
2973122,960219,9,994088,28593,0.03,good
297674,425482,61,34935,6701,0.19,good
2629451,2793484,98,771063,769295,1,bad
,808615,24,228414,157646,0.69,bad
1689123,591203,82,550567,71825,0.13,good
2380737,2265333,37,706055,673797,,bad
256032,154945,22,76850,7152,0.09,bad
1536709,102039,62,228935,202842,0.89,good
3111192,447031,58,1193945,,0.24,good
3104783,3549119,56,882682,681890,,bad
2364189,2047602,63,,123038,0.31,good
613216,,24,104527,10297,0.1,bad
3927492,3477949,67,628431,444967,0.71,bad
3905854,5858151,13,1469124,1432558,0.98,bad
1659640,19038,48,199395,85982,0.43,good
1639072,1147755,5,549494,,0.23,bad
3304741,1222009,76,684234,79399,0.12,good
3303457,270827,99,747024,352047,0.47,good
2085347,765600,4,778934,437930,0.56,good
,1042911,70,190536,140752,,bad
678011,,16,205591,,0.18,good
3530038,,32,1251099,397648,0.32,bad
3812142,4950374,76,1223645,748920,,good
3168826,2559047,29,377675,370187,0.98,bad
1093004,327618,74,148382,108650,0.73,good
1249512,1481037,32,361173,70851,,bad
1517692,320961,56,398981,90306,0.23,good
3478470,2396533,14,379609,179963,0.47,bad
3277063,2556795,,441434,,0.87,bad
3614213,4065418,,1065920,676218,0.63,good
2598346,,38,,122173,0.21,good
3935353,3997628,,1188779,185602,0.16,good
1806329,2509468,1,478413,204099,0.43,bad
2373275,3023473,70,547055,480250,0.88,bad
1113843,,19,345507,7027,0.02,good
3619174,1836920,35,1278591,850187,0.66,good
2785216,,61,834970,828390,0.99,bad
1984327,2872447,51,773473,577733,0.75,bad
1086009,47285,35,274526,135322,0.49,good
,2413020,12,515535,429917,0.83,bad
2816785,2393418,24,980740,596963,0.61,bad
2084759,887852,84,362524,37758,0.1,good
1744349,1239985,9,253038,83040,0.33,bad
3023000,,53,668635,286754,0.43,good
436118,457951,,155118,90637,0.58,good
2470566,707760,14,918509,231542,0.25,good
1205638,,36,153285,81971,0.53,good
3641710,3854046,38,503891,178091,0.35,bad
3377538,4800312,71,1059419,519597,0.49,good
2245308,668027,46,248220,35180,,good
2605722,,90,531380,,0.93,bad
,2108422,,959488,911779,0.95,bad
405712,566955,8,,56073,0.72,bad
1364987,1039451,30,190147,,0.03,bad
643705,899649,12,165586,5891,0.04,bad
1750307,2281223,85,427470,139420,0.33,good
3460254,,56,1149705,273911,0.24,good
406719,36583,75,126670,,0.03,good
,2775584,,,635463,0.65,bad
2381485,2651832,1,422680,19110,0.05,bad
3049527,1931194,47,605920,350352,0.58,good
,,15,687203,180412,0.26,bad
1595737,,25,404107,335271,0.83,bad
2274948,1727962,44,492910,267059,0.54,good
1055874,577703,,339859,285550,0.84,bad
2454467,1651299,73,434325,234175,0.54,good
414627,473703,89,89218,10636,0.12,good
2404287,3224006,95,842811,767446,0.91,bad
,794380,37,344814,247514,0.72,bad
1833523,,91,642115,447911,0.7,good
3530566,550182,18,842706,526542,0.62,good
2859273,3006797,72,586976,360081,0.61,good
2367348,107735,31,925440,284100,0.31,good
3254921,1753991,,819470,398894,0.49,good
1044859,472610,,232784,55726,0.24,good
814897,738317,65,168087,39863,0.24,good
1446425,,12,288377,1634,0.01,good
534692,560051,25,,24473,0.21,bad
671453,449986,100,178095,130654,0.73,bad
3215259,2137293,38,1215781,680134,0.56,bad
1576687,875876,36,169712,94863,,good
288553,400726,63,29882,19567,0.65,good
1447055,892285,,229928,84103,0.37,good
1686294,2029701,93,553759,315301,0.57,good
1634841,590464,11,163872,148468,0.91,bad
1118755,113606,40,311351,231436,0.74,good
2019946,1971569,71,234124,33819,0.14,good
3307914,1823652,55,730660,198772,0.27,good
438288,490613,26,68395,39350,0.58,bad
1502110,1044286,93,572908,119507,0.21,good
2123867,1316858,42,278486,175953,0.63,good
364436,418603,76,128605,35064,0.27,good
1906058,1391109,,343356,169340,0.49,good
,4234550,79,940389,387374,0.41,good
1878783,1497239,5,673111,70871,0.11,bad
130593,164713,88,45794,35754,0.78,bad
,5028220,40,1367744,805412,0.59,good
442796,,81,154270,67373,0.44,good
1957761,11056,50,659943,303271,,good
1187828,197298,86,444504,277021,0.62,good
,,20,663544,59794,,good
2436406,789993,8,361478,245268,0.68,good
3083034,2573850,49,708985,154724,0.22,good
,1409956,34,219189,217189,0.99,bad
3161874,1340285,52,993958,129210,0.13,good
2233294,2133993,61,441510,340667,,bad
1238430,1352980,97,489167,471655,0.96,bad
,2113096,71,930467,281080,0.3,good
3666070,744352,99,913802,788124,0.86,good
143236,39252,44,48581,,0.86,good
2229190,351440,48,472398,328420,0.7,good
3799976,5495587,0,721876,92179,0.13,bad
1137675,1384797,29,,169537,0.81,bad
1393520,866372,81,480056,135431,0.28,good
1277213,612325,,283012,201057,0.71,good
1139452,1483888,78,372326,65671,0.18,good
1902687,190709,9,,365031,,good
3012548,2781823,3,475495,394970,0.83,bad
335317,210523,83,37784,27599,0.73,bad
2406945,1618369,59,797756,104230,0.13,good
2066322,745835,43,588206,49802,0.08,good
2708602,2665073,25,420977,150029,0.36,bad
,177899,95,735620,,0.42,good
2715289,,49,406232,51675,,good
3875982,3187035,44,1031318,54095,,good
1189419,1202794,92,459830,165075,0.36,good
2796540,710838,13,1060750,254555,0.24,good
2876056,391347,36,447972,120736,0.27,good
3957125,5206233,25,1459020,263874,0.18,bad
3349861,276987,25,857194,53240,0.06,good
3214892,19414,50,428300,55158,0.13,good
,2025849,30,746367,117031,0.16,bad
,1180830,74,302292,152322,0.5,good
1433682,,45,567880,111275,0.2,good
1697419,,47,244510,50924,0.21,good
2548640,3296907,39,474262,381302,0.8,bad
2112582,,45,433223,128705,0.3,good
2728267,3621820,,290589,89409,0.31,good
3846710,2712890,29,1442548,780048,0.54,bad
937982,239868,45,168363,164404,0.98,good
1910466,2619854,21,226157,,0.43,bad
2316467,2432163,,365824,359657,0.98,bad
574469,104769,0,105610,48573,0.46,good
3008371,4022616,37,977564,542784,0.56,bad
782577,512575,,216633,191855,0.89,bad
3005193,4398247,,704149,50649,0.07,good
2977084,2976400,16,825892,84683,0.1,bad
627965,843565,29,121829,25044,0.21,bad
2122176,1284856,53,499383,424970,0.85,bad
2112383,261809,62,471532,457176,0.97,good
313535,117102,55,40170,6810,0.17,good
3379195,3102593,48,1138778,871939,0.77,bad
647234,490098,69,176265,117804,0.67,good
1324520,1408817,34,,,0.09,bad
2530984,3636553,53,651665,,0.84,bad
200636,210264,20,56955,14986,0.26,bad
3589280,5350567,82,1125615,178852,0.16,good
1369175,1499235,73,189141,49984,0.26,good
1336378,1867354,5,164709,116990,0.71,bad
3984519,463633,72,,694464,0.49,good
3732252,2279233,31,649010,50178,0.08,bad
1639310,774956,84,554734,401426,0.72,good
1175444,347041,47,290443,122199,0.42,good
1900665,877885,51,,,0.7,good
925205,452714,89,238508,157269,0.66,good
1268826,1581140,94,188793,187562,0.99,bad
2660000,1122148,47,553289,519642,0.94,good
741019,,64,255420,144242,0.56,good
561400,654189,81,70238,33412,0.48,good
,553306,,256147,146343,0.57,good
,260295,,115314,51048,,good
2757829,631650,6,1062805,295393,0.28,good
3441003,2186616,67,695914,609302,0.88,bad
2931952,264683,54,814516,215079,0.26,good
2332149,1494367,60,816523,212244,,good
537506,617392,91,178667,147820,0.83,bad
2201751,1551049,66,,96732,0.35,good
805078,83196,40,284573,200181,,good
,2056057,32,843627,784863,0.93,bad
3753415,3894235,86,725874,711499,0.98,bad
3588620,3270126,72,1073807,315417,0.29,good
,95654,78,1231489,1221400,,good
1639256,364632,48,439126,53700,0.12,good
890725,1306745,50,213114,132992,,good
2197414,1362689,24,415872,14032,,bad
343732,55927,,53629,4567,0.09,good
262757,246921,74,75269,36758,0.49,good
,1067043,77,1041162,351217,0.34,good
2093068,2460468,90,410825,285810,0.7,good
2356425,832258,,807033,673000,0.83,bad
2099124,642323,,618902,382224,0.62,good
2431139,656028,18,400007,305105,0.76,bad
432910,481306,85,64751,51137,0.79,bad
,1832598,48,223078,195609,0.88,bad
2120415,827966,72,422327,336936,0.8,good
2562519,1921867,46,636241,164287,0.26,good
1165492,903843,26,377825,253267,0.67,bad
999788,278466,88,125878,75348,0.6,good
2977176,1432428,91,964142,113735,0.12,good
1766998,2111669,18,214808,61027,0.28,bad
3880386,482097,45,1187141,579387,0.49,good
370611,342426,82,120532,,0.74,bad
1474081,,98,394897,320136,0.81,bad
2755936,547416,29,329997,229089,0.69,good
2068602,1387167,83,675071,182104,0.27,good
3405824,2090769,39,674321,274400,0.41,bad
2524988,1657557,8,556617,212607,0.38,bad
,626020,40,129371,2044,0.02,good
3433637,4114657,,569951,523898,0.92,bad
1815968,919140,64,325947,180529,0.55,good
606359,448674,64,,174095,0.91,bad
446415,413009,96,172724,48110,0.28,good
2649232,193830,71,328712,197705,0.6,good
2621320,1523712,79,990624,729168,,good
333666,27719,66,78428,63239,0.81,good
2658445,1992373,48,387404,379524,0.98,bad
2640613,1046644,66,726543,55900,0.08,good
2092131,276882,5,675496,221918,0.33,good
3055080,3791192,85,488826,133946,0.27,good
,1044094,56,134683,17634,,good
1617458,1030940,69,590450,409099,0.69,good
3150666,664819,100,381608,274117,0.72,good
2610021,1979648,46,948478,317665,0.33,good
3958564,439371,51,753617,436404,0.58,good
2462092,3037819,40,691114,359809,0.52,good
,2347052,0,364471,242008,0.66,bad
3131231,155237,57,759266,515983,0.68,good
1490808,222276,,473984,441625,0.93,good
3109466,2505524,60,855565,356739,,good
1388053,161530,3,,253677,0.63,good
421838,77418,31,54094,5982,0.11,good
3541594,4411635,42,1254879,407473,0.32,good
,87333,29,631737,,0.19,good
2997007,752815,12,936965,562194,0.6,good
1155767,,,207244,24689,0.12,good
3874158,3948529,7,1338145,840489,0.63,bad
1825042,2159925,47,281253,208195,0.74,bad
881928,319426,48,285638,203796,0.71,good
2570611,3506634,97,618363,489700,0.79,bad
2229571,2341260,44,725283,508229,0.7,good
2994947,805607,89,1022486,697703,0.68,good
2858215,588394,20,371455,304215,,bad
2011865,297076,,696278,36562,0.05,good
3085785,2797072,70,428049,307760,0.72,bad
3955578,5635612,31,962796,,,bad
1287121,1098730,4,362326,43056,0.12,bad
,169344,65,872641,266212,0.31,good
2961339,2340983,25,475246,451888,0.95,bad
247705,219877,74,38089,14618,0.38,good
2935517,3846604,73,840886,691097,0.82,bad
3651957,1476739,55,881696,135359,0.15,good
3189532,,57,431498,17929,0.04,good
564664,821476,69,210086,173619,0.83,bad
2602168,,83,667639,149810,0.22,good
1727710,594708,53,215592,166291,0.77,good
3976165,,58,601177,411834,0.69,good
1045894,478349,92,235881,151043,0.64,good
1544033,1395043,43,323604,162416,0.5,good
2928771,1085803,82,592972,539316,0.91,good
3002538,3515441,83,306791,219175,0.71,bad
545954,530739,,193178,115251,0.6,bad
163280,113,,50201,48320,0.96,good
2046361,1973023,26,377020,99048,0.26,bad
3735053,776649,9,532563,,,good
,198660,57,99886,97935,0.98,good
603898,491246,62,135766,8547,0.06,good
2586001,2779628,61,660601,420431,0.64,good
593656,870997,15,189620,,0.34,bad
2849507,2774940,90,361074,21344,,good
1444432,1547247,43,383597,87791,0.23,good
3136627,2251805,93,892717,722400,0.81,bad
3195831,934969,31,703148,29010,0.04,good
932632,612216,11,321194,167517,0.52,bad
,489767,20,,827731,0.99,bad
2284215,994460,87,228552,99021,0.43,good
3005001,2621989,79,1112094,845350,0.76,bad
1383636,342460,,,120594,0.33,good
2516771,1458554,76,677684,69654,0.1,good
910227,525063,39,145732,112032,0.77,bad
2472021,2667452,59,617429,507750,0.82,bad
1047603,559312,100,,125189,0.36,good
1162842,314144,8,272564,89593,0.33,good
2371089,3077805,5,663046,293357,0.44,bad
2557671,1764742,10,592396,184686,0.31,bad
3446333,3347884,35,739869,232888,0.31,bad
1336719,1697162,62,435277,156146,0.36,good
581365,663025,,77658,19256,0.25,good
922232,423022,76,156521,142294,0.91,good
1544988,1805764,0,388334,124990,0.32,bad
2523920,1223603,96,730666,370590,0.51,good
1495006,1260901,8,512339,202613,0.4,bad
330595,72226,8,63017,61966,,bad
,2260271,21,341664,214206,0.63,bad
1921818,2357339,69,740383,662649,0.9,bad
3936309,1434223,70,804211,152609,0.19,good
2634233,1226835,45,493050,181393,0.37,good
3643212,5259039,7,450529,69410,0.15,bad
805039,911874,13,142555,103737,0.73,bad
1709136,36025,46,561431,324316,0.58,good
233834,82030,94,32114,29713,0.93,good
958537,590119,69,261297,230971,0.88,bad
2260687,2264252,1,719777,17445,0.02,bad
1957528,1759164,34,704181,566255,0.8,bad
3645729,3675277,61,385718,295385,0.77,bad
3485357,562619,94,,875147,0.72,good
2461634,1857293,43,683503,11394,0.02,good
1254019,550198,79,437707,181620,0.41,good
3960811,,32,1211839,423373,0.35,bad
434187,568648,76,77364,31923,0.41,good
1331689,823954,28,172159,27125,0.16,bad
2518774,204257,43,,231232,0.37,good
931221,243611,,199416,182830,0.92,good
3550734,5095168,10,1293932,746420,0.58,bad
3391615,1370681,34,683519,,0.91,bad
180370,6063,88,49161,,0.48,good
784822,1042979,38,255500,212063,0.83,bad
619766,68083,15,231808,20840,0.09,good
3218343,673476,30,815971,217991,0.27,good
373789,319739,22,89612,77313,0.86,bad
1220476,1056725,52,316644,190887,0.6,good
2927001,1258832,21,779153,704842,0.9,bad
1865478,1011589,2,661604,629514,0.95,bad
1214009,1654054,68,455298,344643,0.76,bad
622425,558434,15,181513,30498,0.17,bad
,638725,28,163440,7307,0.04,bad
1404030,81287,83,193687,175952,0.91,good
3646766,2150660,17,623495,301030,0.48,good
1792980,,81,475174,,0.57,good
2592303,3120355,11,353214,277801,0.79,bad
3236070,2237452,,963388,29782,0.03,good
293352,278408,63,116114,74970,,good
2484961,850264,71,353752,63166,0.18,good
3333886,3251353,20,1017508,524220,0.52,bad
2650015,1284657,24,793405,188921,0.24,good
2685667,1305002,13,914178,862539,0.94,bad
,133376,80,138792,80416,0.58,good
2586972,2675485,12,397087,253254,0.64,bad
311757,84241,55,112661,13763,,good
117114,,47,41650,26553,,good
1728063,2024632,,625964,571671,0.91,bad
2887430,3911088,,757627,19035,0.03,bad
2712794,3632002,94,544063,435934,,bad
1192695,732056,95,134984,58888,0.44,good
3575707,1809501,14,430781,359194,,bad
833833,207748,54,111302,39989,0.36,good
436539,197848,62,117420,61805,0.53,good
3354070,4966233,4,811254,489783,0.6,bad
1242649,1603182,,228027,89373,0.39,good
694184,913159,15,239831,106872,0.45,bad
3826222,2820964,58,1306089,840772,0.64,good
2023630,1036860,10,529338,74570,0.14,good
2803826,3506722,86,894788,235752,0.26,good
439791,118614,,77372,28786,,good
3389805,3741657,17,435165,362183,0.83,bad
1891575,1187555,66,232388,195045,0.84,bad
3088131,2835466,,369312,209302,0.57,good
2941815,4027288,,629751,320000,,bad
3990449,,63,938452,791075,0.84,bad
1614347,253738,20,619748,586991,0.95,bad
2646392,2190768,74,415520,279842,0.67,good
1877813,1735194,59,500032,,0.26,good
316801,404176,68,46123,21598,0.47,good
1326759,464163,91,241156,170867,0.71,good
3657339,1472255,43,453671,153449,,good
2238104,1859299,53,343090,10268,0.03,good
1692638,1322495,51,471898,408528,0.87,bad
3917808,3208657,83,858245,751222,0.88,bad
759846,738264,26,,63077,0.63,bad
693016,921093,72,137367,121183,0.88,bad
739465,459413,50,194268,44304,0.23,good
909798,996543,14,330131,,0.75,bad
3834414,2301282,19,686868,200950,0.29,bad
459682,,72,163338,75794,0.46,good
3538221,3238356,71,1251193,1201228,0.96,bad
2001915,1024310,5,614201,13213,0.02,good
3037062,1353395,,505832,110598,0.22,good
888325,938751,79,121066,8431,,good
2667560,232485,,678633,548217,0.81,good
3573439,3888331,80,930600,,0.45,good
1755181,811611,28,226714,52018,0.23,good
,1717742,88,316136,42743,0.14,good
2470854,2375753,59,545774,115363,0.21,good
1032415,1384953,68,341040,69930,0.21,good
2659506,1788225,81,,34413,0.04,good
641021,821410,,73059,16300,0.22,good
353988,56645,8,,27515,0.26,good
3775908,5062525,79,1362306,613600,0.45,good
3835395,807408,,892686,338077,0.38,good
1377989,826411,40,439535,240255,0.55,good
,948468,12,328494,95338,0.29,good
,733747,73,212946,13152,0.06,good
3945411,2728573,40,864650,391860,0.45,good
2635116,3454123,76,569848,540100,0.95,bad
148208,45130,54,,1562,0.04,good
3630980,4480281,85,1441113,481235,0.33,good
985482,1077750,46,325271,248200,0.76,bad
,136114,80,23368,6890,,good
,791446,55,423843,327340,0.77,good
2669157,2191016,100,,579346,0.92,bad
,5443668,57,1421458,,0.1,good
344094,184824,8,86205,63074,0.73,bad
227856,34935,72,43580,,0.66,good
2077276,2431083,64,673046,,0.71,bad
2311828,3285129,60,385520,301219,0.78,bad
,1829026,94,282210,97819,0.35,good
,5386180,75,924692,883311,,bad
3368781,1873894,80,419578,84107,0.2,good
3041679,436641,51,966271,736085,0.76,good
2395849,3004726,27,662254,108402,0.16,bad
2940077,4340058,79,758850,,0.5,good
2912725,1273804,63,876644,701068,0.8,good
1117417,458917,35,386285,211791,0.55,good
1058785,869279,50,165383,49632,0.3,good
1593576,1693190,47,606224,586895,0.97,bad
3645312,4700585,83,413262,208459,0.5,good
3008067,3208104,75,965069,596740,0.62,good
1053742,1423674,73,115173,25200,0.22,good
3973316,4205815,,475563,96066,0.2,good
375400,148747,84,116666,116079,0.99,good
3825989,648876,56,1405295,1252015,,good
,3911146,68,789039,208213,0.26,good
2974749,288593,73,1006137,860058,0.85,good
2628052,2314195,75,550870,354902,0.64,good
1283965,608450,44,348950,212913,0.61,good
3791436,3047786,,1456613,,0.71,bad
1821080,222470,91,531347,61132,0.12,good
791092,718902,29,141761,,0.74,bad
2623190,1963399,44,572520,,0.16,good
